Rxn	Flux
TKLa	0.16	0.15	0.07	0.18	0.19	0.12	0.21
TAL1	0.16	0.15	0.07	0.18	0.19	0.12	0.21
TKLb	0.12	0.05	-0.02	0.13	0.13	0.04	0.15
DAR	0.60	1.70	1.50	2.60	2.40	2.90	2.80
GPP	0.60	1.70	1.50	2.60	2.40	2.90	2.80
PDC	9.83	30.96	29.87	17.45	13.05	21.10	16.67
ADH1	9.00	29.60	28.20	15.20	11.20	20.10	15.60
ALD6	0.00	1.36	1.67	0.00	0.00	1.00	0.00
ALD2	0.83	0.00	-0.00	2.25	1.85	-0.00	1.07
ICL1	0.02	0.05	0.05	0.36	0.37	0.04	0.03
MLS1	0.02	0.05	0.05	0.36	0.37	0.04	0.03
ATPX	9.42	1.00	1.00	16.69	14.08	1.00	9.29
PDH	1.87	1.38	0.97	2.54	2.88	1.82	2.17
ACS	0.13	0.06	0.37	0.15	0.15	-0.00	0.17
ADK1_1	0.13	0.06	0.37	0.15	0.15	0.00	0.17
PCK	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PYC	0.30	0.70	0.65	-0.00	-0.00	0.53	0.40
CIT	1.57	0.42	0.39	1.86	2.19	1.04	1.76
ACO	1.57	0.42	0.39	1.86	2.19	1.04	1.76
IDH	1.39	0.00	0.00	1.32	1.63	0.72	1.53
IDPH	0.16	0.37	0.34	0.18	0.18	0.28	0.21
KGD1	1.53	0.32	0.30	1.48	1.79	0.97	1.71
LSC2	1.53	0.32	0.30	1.48	1.79	0.97	1.71
SDH12	1.55	0.37	0.34	1.84	2.16	1.00	1.73
FRDS2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FUM1	1.55	0.37	0.34	1.84	2.16	1.00	1.73
MDH1	1.57	0.42	0.39	2.20	2.53	1.04	1.76
NDI1	6.58	2.65	2.15	7.79	9.10	4.96	7.46
NDE2	3.85	3.17	3.13	5.12	4.89	1.55	2.72
SDH34	1.55	0.37	0.34	1.84	2.16	1.00	1.73
RIP1	11.98	6.19	5.62	14.75	16.15	7.51	11.91
COX1	23.96	12.38	11.25	29.51	32.30	15.02	23.82
ATP1	12.56	6.39	5.87	15.52	16.92	7.64	12.35
ShuttleX	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransport	14.09	6.70	6.16	17.00	18.71	8.60	14.05
OAC1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTrans	2.13	1.99	1.54	2.83	3.18	2.29	2.51
CAT2	-0.00	-0.00	0.08	-0.00	-0.00	-0.00	-0.00
CO2TRANS	4.95	2.07	1.61	5.52	6.49	3.79	5.61
ShuttleXRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransportRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
OAC1Rev	-0.00	-0.00	-0.00	0.34	0.35	-0.00	-0.00
PyrTransRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
CAT2Rev	-0.00	0.25	-0.00	-0.00	-0.00	0.23	-0.00
HDECOUP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROT	0.64	1.48	1.38	0.71	0.73	1.13	0.84
VGRORNA	0.06	0.15	0.14	0.07	0.07	0.11	0.08
VGRODNA	0.00	0.01	0.01	0.00	0.00	0.01	0.00
VGROLIPID	0.01	0.02	0.02	0.01	0.01	0.01	0.01
VGROGLYCOGEN	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROTREHALOSE	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROMANNAN	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROGLUCAN	0.42	0.99	0.92	0.48	0.49	0.75	0.56
VGROMAINTAIN	9.44	22.05	20.55	10.59	10.87	16.81	12.45
GROWTH	0.17	0.40	0.37	0.19	0.20	0.31	0.23
