Rxn	Flux
HDECOUP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROT	0.14	0.31	0.49	0.66	0.79	1.02	1.11	1.20	1.30	1.39	1.48	1.57	1.67
VGRORNA	0.01	0.03	0.05	0.07	0.08	0.10	0.11	0.12	0.13	0.14	0.15	0.16	0.17
VGRODNA	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROLIPID	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02
VGROGLYCOGEN	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROTREHALOSE	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROMANNAN	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROGLUCAN	0.09	0.21	0.33	0.44	0.53	0.68	0.74	0.80	0.86	0.93	0.99	1.05	1.11
VGROMAINTAIN	2.03	4.65	7.33	9.83	11.78	15.13	16.50	17.88	19.25	20.63	22.00	23.38	24.75
GROWTH	0.04	0.08	0.13	0.18	0.21	0.28	0.30	0.33	0.35	0.38	0.40	0.42	0.45
